"시점","기관별(1)","기관별(2)",멸종위기류별(1),데이터
"2006","환경부지정 멸종위기종","소계",계,221
"2006","환경부지정 멸종위기종","소계",식물,64
"2006","환경부지정 멸종위기종","소계",포유류,22
"2006","환경부지정 멸종위기종","소계",조류,61
"2006","환경부지정 멸종위기종","소계",양서류,2
"2006","환경부지정 멸종위기종","소계",파충류,4
"2006","환경부지정 멸종위기종","소계",어류,18
"2006","환경부지정 멸종위기종","소계",곤충,20
"2006","환경부지정 멸종위기종","소계",저서성대형 무척추동물,29
"2006","환경부지정 멸종위기종","소계",해조류,1
"2006","국립공원내 멸종위기종","소계",계,128
"2006","국립공원내 멸종위기종","소계",식물,44
"2006","국립공원내 멸종위기종","소계",포유류,9
"2006","국립공원내 멸종위기종","소계",조류,42
"2006","국립공원내 멸종위기종","소계",양서류,2
"2006","국립공원내 멸종위기종","소계",파충류,3
"2006","국립공원내 멸종위기종","소계",어류,12
"2006","국립공원내 멸종위기종","소계",곤충,15
"2006","국립공원내 멸종위기종","소계",저서성대형 무척추동물,1
"2006","국립공원내 멸종위기종","소계",해조류,0
"2006","국립공원내 멸종위기종","Ⅰ급",계,22
"2006","국립공원내 멸종위기종","Ⅰ급",식물,4
"2006","국립공원내 멸종위기종","Ⅰ급",포유류,5
"2006","국립공원내 멸종위기종","Ⅰ급",조류,7
"2006","국립공원내 멸종위기종","Ⅰ급",파충류,1
"2006","국립공원내 멸종위기종","Ⅰ급",어류,2
"2006","국립공원내 멸종위기종","Ⅰ급",곤충,3
"2006","국립공원내 멸종위기종","Ⅱ급",계,106
"2006","국립공원내 멸종위기종","Ⅱ급",식물,40
"2006","국립공원내 멸종위기종","Ⅱ급",포유류,4
"2006","국립공원내 멸종위기종","Ⅱ급",조류,35
"2006","국립공원내 멸종위기종","Ⅱ급",양서류,2
"2006","국립공원내 멸종위기종","Ⅱ급",파충류,2
"2006","국립공원내 멸종위기종","Ⅱ급",어류,10
"2006","국립공원내 멸종위기종","Ⅱ급",곤충,12
"2006","국립공원내 멸종위기종","Ⅱ급",저서성대형 무척추동물,1
"2007","환경부지정 멸종위기종","소계",계,221
"2007","환경부지정 멸종위기종","소계",식물,64
"2007","환경부지정 멸종위기종","소계",포유류,22
"2007","환경부지정 멸종위기종","소계",조류,61
"2007","환경부지정 멸종위기종","소계",양서류,2
"2007","환경부지정 멸종위기종","소계",파충류,4
"2007","환경부지정 멸종위기종","소계",어류,18
"2007","환경부지정 멸종위기종","소계",곤충,20
"2007","환경부지정 멸종위기종","소계",저서성대형 무척추동물,29
"2007","환경부지정 멸종위기종","소계",해조류,1
"2007","국립공원내 멸종위기종","소계",계,128
"2007","국립공원내 멸종위기종","소계",식물,44
"2007","국립공원내 멸종위기종","소계",포유류,9
"2007","국립공원내 멸종위기종","소계",조류,42
"2007","국립공원내 멸종위기종","소계",양서류,2
"2007","국립공원내 멸종위기종","소계",파충류,3
"2007","국립공원내 멸종위기종","소계",어류,12
"2007","국립공원내 멸종위기종","소계",곤충,15
"2007","국립공원내 멸종위기종","소계",저서성대형 무척추동물,1
"2007","국립공원내 멸종위기종","소계",해조류,0
"2007","국립공원내 멸종위기종","Ⅰ급",계,22
"2007","국립공원내 멸종위기종","Ⅰ급",식물,4
"2007","국립공원내 멸종위기종","Ⅰ급",포유류,5
"2007","국립공원내 멸종위기종","Ⅰ급",조류,7
"2007","국립공원내 멸종위기종","Ⅰ급",파충류,1
"2007","국립공원내 멸종위기종","Ⅰ급",어류,2
"2007","국립공원내 멸종위기종","Ⅰ급",곤충,3
"2007","국립공원내 멸종위기종","Ⅱ급",계,106
"2007","국립공원내 멸종위기종","Ⅱ급",식물,40
"2007","국립공원내 멸종위기종","Ⅱ급",포유류,4
"2007","국립공원내 멸종위기종","Ⅱ급",조류,35
"2007","국립공원내 멸종위기종","Ⅱ급",양서류,2
"2007","국립공원내 멸종위기종","Ⅱ급",파충류,2
"2007","국립공원내 멸종위기종","Ⅱ급",어류,10
"2007","국립공원내 멸종위기종","Ⅱ급",곤충,12
"2007","국립공원내 멸종위기종","Ⅱ급",저서성대형 무척추동물,1
"2008","환경부지정 멸종위기종","소계",계,221
"2008","환경부지정 멸종위기종","소계",식물,64
"2008","환경부지정 멸종위기종","소계",포유류,22
"2008","환경부지정 멸종위기종","소계",조류,61
"2008","환경부지정 멸종위기종","소계",양서류,2
"2008","환경부지정 멸종위기종","소계",파충류,4
"2008","환경부지정 멸종위기종","소계",어류,18
"2008","환경부지정 멸종위기종","소계",곤충,20
"2008","환경부지정 멸종위기종","소계",저서성대형 무척추동물,29
"2008","환경부지정 멸종위기종","소계",해조류,1
"2008","국립공원내 멸종위기종","소계",계,128
"2008","국립공원내 멸종위기종","소계",식물,44
"2008","국립공원내 멸종위기종","소계",포유류,9
"2008","국립공원내 멸종위기종","소계",조류,42
"2008","국립공원내 멸종위기종","소계",양서류,2
"2008","국립공원내 멸종위기종","소계",파충류,3
"2008","국립공원내 멸종위기종","소계",어류,12
"2008","국립공원내 멸종위기종","소계",곤충,15
"2008","국립공원내 멸종위기종","소계",저서성대형 무척추동물,1
"2008","국립공원내 멸종위기종","소계",해조류,0
"2008","국립공원내 멸종위기종","Ⅰ급",계,22
"2008","국립공원내 멸종위기종","Ⅰ급",식물,4
"2008","국립공원내 멸종위기종","Ⅰ급",포유류,5
"2008","국립공원내 멸종위기종","Ⅰ급",조류,7
"2008","국립공원내 멸종위기종","Ⅰ급",파충류,1
"2008","국립공원내 멸종위기종","Ⅰ급",어류,2
"2008","국립공원내 멸종위기종","Ⅰ급",곤충,3
"2008","국립공원내 멸종위기종","Ⅱ급",계,106
"2008","국립공원내 멸종위기종","Ⅱ급",식물,40
"2008","국립공원내 멸종위기종","Ⅱ급",포유류,4
"2008","국립공원내 멸종위기종","Ⅱ급",조류,35
"2008","국립공원내 멸종위기종","Ⅱ급",양서류,2
"2008","국립공원내 멸종위기종","Ⅱ급",파충류,2
"2008","국립공원내 멸종위기종","Ⅱ급",어류,10
"2008","국립공원내 멸종위기종","Ⅱ급",곤충,12
"2008","국립공원내 멸종위기종","Ⅱ급",저서성대형 무척추동물,1
"2009","환경부지정 멸종위기종","소계",계,221
"2009","환경부지정 멸종위기종","소계",식물,64
"2009","환경부지정 멸종위기종","소계",포유류,22
"2009","환경부지정 멸종위기종","소계",조류,61
"2009","환경부지정 멸종위기종","소계",양서류,2
"2009","환경부지정 멸종위기종","소계",파충류,4
"2009","환경부지정 멸종위기종","소계",어류,18
"2009","환경부지정 멸종위기종","소계",곤충,20
"2009","환경부지정 멸종위기종","소계",저서성대형 무척추동물,29
"2009","환경부지정 멸종위기종","소계",해조류,1
"2009","국립공원내 멸종위기종","소계",계,133
"2009","국립공원내 멸종위기종","소계",식물,44
"2009","국립공원내 멸종위기종","소계",포유류,9
"2009","국립공원내 멸종위기종","소계",조류,46
"2009","국립공원내 멸종위기종","소계",양서류,2
"2009","국립공원내 멸종위기종","소계",파충류,4
"2009","국립공원내 멸종위기종","소계",어류,7
"2009","국립공원내 멸종위기종","소계",곤충,20
"2009","국립공원내 멸종위기종","소계",저서성대형 무척추동물,1
"2009","국립공원내 멸종위기종","소계",해조류,0
"2009","국립공원내 멸종위기종","Ⅰ급",계,27
"2009","국립공원내 멸종위기종","Ⅰ급",식물,5
"2009","국립공원내 멸종위기종","Ⅰ급",포유류,5
"2009","국립공원내 멸종위기종","Ⅰ급",조류,9
"2009","국립공원내 멸종위기종","Ⅰ급",파충류,1
"2009","국립공원내 멸종위기종","Ⅰ급",어류,2
"2009","국립공원내 멸종위기종","Ⅰ급",곤충,5
"2009","국립공원내 멸종위기종","Ⅱ급",계,106
"2009","국립공원내 멸종위기종","Ⅱ급",식물,39
"2009","국립공원내 멸종위기종","Ⅱ급",포유류,4
"2009","국립공원내 멸종위기종","Ⅱ급",조류,37
"2009","국립공원내 멸종위기종","Ⅱ급",양서류,2
"2009","국립공원내 멸종위기종","Ⅱ급",파충류,3
"2009","국립공원내 멸종위기종","Ⅱ급",어류,5
"2009","국립공원내 멸종위기종","Ⅱ급",곤충,15
"2009","국립공원내 멸종위기종","Ⅱ급",저서성대형 무척추동물,1
"2010","환경부지정 멸종위기종","소계",계,221
"2010","환경부지정 멸종위기종","소계",식물,64
"2010","환경부지정 멸종위기종","소계",포유류,22
"2010","환경부지정 멸종위기종","소계",조류,61
"2010","환경부지정 멸종위기종","소계",양서류,2
"2010","환경부지정 멸종위기종","소계",파충류,4
"2010","환경부지정 멸종위기종","소계",어류,18
"2010","환경부지정 멸종위기종","소계",곤충,20
"2010","환경부지정 멸종위기종","소계",저서성대형 무척추동물,29
"2010","환경부지정 멸종위기종","소계",해조류,1
"2010","국립공원내 멸종위기종","소계",계,133
"2010","국립공원내 멸종위기종","소계",식물,44
"2010","국립공원내 멸종위기종","소계",포유류,9
"2010","국립공원내 멸종위기종","소계",조류,46
"2010","국립공원내 멸종위기종","소계",양서류,2
"2010","국립공원내 멸종위기종","소계",파충류,4
"2010","국립공원내 멸종위기종","소계",어류,7
"2010","국립공원내 멸종위기종","소계",곤충,20
"2010","국립공원내 멸종위기종","소계",저서성대형 무척추동물,1
"2010","국립공원내 멸종위기종","소계",해조류,0
"2010","국립공원내 멸종위기종","Ⅰ급",계,27
"2010","국립공원내 멸종위기종","Ⅰ급",식물,5
"2010","국립공원내 멸종위기종","Ⅰ급",포유류,5
"2010","국립공원내 멸종위기종","Ⅰ급",조류,9
"2010","국립공원내 멸종위기종","Ⅰ급",파충류,1
"2010","국립공원내 멸종위기종","Ⅰ급",어류,2
"2010","국립공원내 멸종위기종","Ⅰ급",곤충,5
"2010","국립공원내 멸종위기종","Ⅱ급",계,106
"2010","국립공원내 멸종위기종","Ⅱ급",식물,39
"2010","국립공원내 멸종위기종","Ⅱ급",포유류,4
"2010","국립공원내 멸종위기종","Ⅱ급",조류,37
"2010","국립공원내 멸종위기종","Ⅱ급",양서류,2
"2010","국립공원내 멸종위기종","Ⅱ급",파충류,3
"2010","국립공원내 멸종위기종","Ⅱ급",어류,5
"2010","국립공원내 멸종위기종","Ⅱ급",곤충,15
"2010","국립공원내 멸종위기종","Ⅱ급",저서성대형 무척추동물,1
"2011","환경부지정 멸종위기종","소계",계,221
"2011","환경부지정 멸종위기종","소계",식물,64
"2011","환경부지정 멸종위기종","소계",포유류,22
"2011","환경부지정 멸종위기종","소계",조류,61
"2011","환경부지정 멸종위기종","소계",양서류,2
"2011","환경부지정 멸종위기종","소계",파충류,4
"2011","환경부지정 멸종위기종","소계",어류,18
"2011","환경부지정 멸종위기종","소계",곤충,20
"2011","환경부지정 멸종위기종","소계",저서성대형 무척추동물,29
"2011","환경부지정 멸종위기종","소계",해조류,1
"2011","국립공원내 멸종위기종","소계",계,133
"2011","국립공원내 멸종위기종","소계",식물,44
"2011","국립공원내 멸종위기종","소계",포유류,9
"2011","국립공원내 멸종위기종","소계",조류,46
"2011","국립공원내 멸종위기종","소계",양서류,2
"2011","국립공원내 멸종위기종","소계",파충류,4
"2011","국립공원내 멸종위기종","소계",어류,7
"2011","국립공원내 멸종위기종","소계",곤충,20
"2011","국립공원내 멸종위기종","소계",저서성대형 무척추동물,1
"2011","국립공원내 멸종위기종","소계",해조류,0
"2011","국립공원내 멸종위기종","Ⅰ급",계,27
"2011","국립공원내 멸종위기종","Ⅰ급",식물,5
"2011","국립공원내 멸종위기종","Ⅰ급",포유류,5
"2011","국립공원내 멸종위기종","Ⅰ급",조류,9
"2011","국립공원내 멸종위기종","Ⅰ급",파충류,1
"2011","국립공원내 멸종위기종","Ⅰ급",어류,2
"2011","국립공원내 멸종위기종","Ⅰ급",곤충,5
"2011","국립공원내 멸종위기종","Ⅱ급",계,106
"2011","국립공원내 멸종위기종","Ⅱ급",식물,39
"2011","국립공원내 멸종위기종","Ⅱ급",포유류,4
"2011","국립공원내 멸종위기종","Ⅱ급",조류,37
"2011","국립공원내 멸종위기종","Ⅱ급",양서류,2
"2011","국립공원내 멸종위기종","Ⅱ급",파충류,3
"2011","국립공원내 멸종위기종","Ⅱ급",어류,5
"2011","국립공원내 멸종위기종","Ⅱ급",곤충,15
"2011","국립공원내 멸종위기종","Ⅱ급",저서성대형 무척추동물,1
"2012","환경부지정 멸종위기종","소계",계,246
"2012","환경부지정 멸종위기종","소계",식물,77
"2012","환경부지정 멸종위기종","소계",포유류,20
"2012","환경부지정 멸종위기종","소계",조류,61
"2012","환경부지정 멸종위기종","소계",양서류,3
"2012","환경부지정 멸종위기종","소계",파충류,4
"2012","환경부지정 멸종위기종","소계",어류,25
"2012","환경부지정 멸종위기종","소계",곤충,22
"2012","환경부지정 멸종위기종","소계",저서성대형 무척추동물,31
"2012","환경부지정 멸종위기종","소계",해조류,2
"2012","환경부지정 멸종위기종","소계",고등균류,1
"2012","국립공원내 멸종위기종","소계",계,145
"2012","국립공원내 멸종위기종","소계",식물,42
"2012","국립공원내 멸종위기종","소계",포유류,10
"2012","국립공원내 멸종위기종","소계",조류,49
"2012","국립공원내 멸종위기종","소계",양서류,2
"2012","국립공원내 멸종위기종","소계",파충류,4
"2012","국립공원내 멸종위기종","소계",어류,10
"2012","국립공원내 멸종위기종","소계",곤충,20
"2012","국립공원내 멸종위기종","소계",저서성대형 무척추동물,8
"2012","국립공원내 멸종위기종","소계",해조류,0
"2012","국립공원내 멸종위기종","소계",고등균류,0
"2012","국립공원내 멸종위기종","Ⅰ급",계,28
"2012","국립공원내 멸종위기종","Ⅰ급",식물,6
"2012","국립공원내 멸종위기종","Ⅰ급",포유류,6
"2012","국립공원내 멸종위기종","Ⅰ급",조류,8
"2012","국립공원내 멸종위기종","Ⅰ급",양서류,0
"2012","국립공원내 멸종위기종","Ⅰ급",파충류,1
"2012","국립공원내 멸종위기종","Ⅰ급",어류,2
"2012","국립공원내 멸종위기종","Ⅰ급",곤충,4
"2012","국립공원내 멸종위기종","Ⅰ급",저서성대형 무척추동물,1
"2012","국립공원내 멸종위기종","Ⅰ급",해조류,-
"2012","국립공원내 멸종위기종","Ⅰ급",고등균류,-
"2012","국립공원내 멸종위기종","Ⅱ급",계,117
"2012","국립공원내 멸종위기종","Ⅱ급",식물,36
"2012","국립공원내 멸종위기종","Ⅱ급",포유류,4
"2012","국립공원내 멸종위기종","Ⅱ급",조류,41
"2012","국립공원내 멸종위기종","Ⅱ급",양서류,2
"2012","국립공원내 멸종위기종","Ⅱ급",파충류,3
"2012","국립공원내 멸종위기종","Ⅱ급",어류,8
"2012","국립공원내 멸종위기종","Ⅱ급",곤충,16
"2012","국립공원내 멸종위기종","Ⅱ급",저서성대형 무척추동물,7
"2012","국립공원내 멸종위기종","Ⅱ급",해조류,-
"2012","국립공원내 멸종위기종","Ⅱ급",고등균류,-
"2013","환경부지정 멸종위기종","소계",계,246
"2013","환경부지정 멸종위기종","소계",식물,77
"2013","환경부지정 멸종위기종","소계",포유류,20
"2013","환경부지정 멸종위기종","소계",조류,61
"2013","환경부지정 멸종위기종","소계",양서류,3
"2013","환경부지정 멸종위기종","소계",파충류,4
"2013","환경부지정 멸종위기종","소계",어류,25
"2013","환경부지정 멸종위기종","소계",곤충,22
"2013","환경부지정 멸종위기종","소계",저서성대형 무척추동물,31
"2013","환경부지정 멸종위기종","소계",해조류,2
"2013","환경부지정 멸종위기종","소계",고등균류,1
"2013","국립공원내 멸종위기종","소계",계,150
"2013","국립공원내 멸종위기종","소계",식물,43
"2013","국립공원내 멸종위기종","소계",포유류,12
"2013","국립공원내 멸종위기종","소계",조류,49
"2013","국립공원내 멸종위기종","소계",양서류,2
"2013","국립공원내 멸종위기종","소계",파충류,4
"2013","국립공원내 멸종위기종","소계",어류,11
"2013","국립공원내 멸종위기종","소계",곤충,20
"2013","국립공원내 멸종위기종","소계",저서성대형 무척추동물,9
"2013","국립공원내 멸종위기종","소계",해조류,0
"2013","국립공원내 멸종위기종","소계",고등균류,0
"2013","국립공원내 멸종위기종","Ⅰ급",계,29
"2013","국립공원내 멸종위기종","Ⅰ급",식물,6
"2013","국립공원내 멸종위기종","Ⅰ급",포유류,6
"2013","국립공원내 멸종위기종","Ⅰ급",조류,8
"2013","국립공원내 멸종위기종","Ⅰ급",양서류,-
"2013","국립공원내 멸종위기종","Ⅰ급",파충류,1
"2013","국립공원내 멸종위기종","Ⅰ급",어류,2
"2013","국립공원내 멸종위기종","Ⅰ급",곤충,4
"2013","국립공원내 멸종위기종","Ⅰ급",저서성대형 무척추동물,2
"2013","국립공원내 멸종위기종","Ⅰ급",해조류,-
"2013","국립공원내 멸종위기종","Ⅰ급",고등균류,-
"2013","국립공원내 멸종위기종","Ⅱ급",계,121
