"과목 및 유형","시점",1명 (%),2명 (%),- 첫째 (%),- 둘째 (%),3명 이상 (%),- 첫째 (%),- 둘째 (%),- 셋째 이상 (%)
"사교육 참여","2017",72.6,73.7,76.4,71.2,63.8,68.6,64.4,60.2
"사교육 참여","2018",75.6,74.6,77.3,72.2,66.5,69.6,67.6,63.8
"사교육 참여","2019",77.2,77.1,79.3,75.1,67.3,71.8,66.9,64.7
"사교육 참여","2020",69.1,69.5,71.5,67.5,59.5,64.2,59.0,56.9
"사교육 참여","2021",79.4,77.3,79.8,75.0,68.1,72.8,67.1,65.7
"과목: 일반교과 사교육","2017",52.0,55.4,57.7,53.2,43.9,47.7,43.9,41.3
"과목: 일반교과 사교육","2018",55.4,55.7,58.8,52.9,46.4,50.4,48.2,42.6
"과목: 일반교과 사교육","2019",59.8,59.4,61.6,57.4,48.2,54.2,48.5,44.1
"과목: 일반교과 사교육","2020",54.1,55.6,57.5,53.8,43.9,49.6,43.9,40.3
"과목: 일반교과 사교육","2021",64.2,63.6,66.3,61.1,52.2,58.5,51.5,48.5
"국  어","2017",19.4,19.5,21.1,18.1,17.1,18.5,16.7,16.4
"국  어","2018",21.6,20.4,22.1,18.8,17.5,18.8,17.2,16.8
"국  어","2019",23.6,22.0,23.2,20.9,18.2,20.8,17.7,16.9
"국  어","2020",23.3,20.7,22.0,19.4,16.2,18.0,15.9,15.4
"국  어","2021",27.7,25.5,26.8,24.3,20.3,22.4,20.5,18.8
"영  어","2017",40.4,42.9,44.9,41.0,31.2,35.8,29.6,29.5
"영  어","2018",43.7,42.9,45.6,40.5,34.1,39.4,34.5,30.6
"영  어","2019",46.7,46.6,48.9,44.6,36.2,43.1,36.5,31.6
"영  어","2020",43.0,44.2,46.3,42.1,32.9,38.4,32.4,29.8
"영  어","2021",52.8,52.1,55.2,49.1,41.2,48.3,41.0,36.6
"수  학","2017",42.8,46.1,47.7,44.6,36.1,39.5,36.3,33.8
"수  학","2018",45.2,46.3,48.6,44.3,38.0,42.6,39.5,34.0
"수  학","2019",49.9,49.5,51.1,48.0,40.0,46.1,39.1,36.7
"수  학","2020",45.5,47.0,48.5,45.5,36.7,41.1,36.8,33.9
"수  학","2021",53.0,53.2,55.4,51.2,43.5,49.1,42.9,40.3
"사회, 과학","2017",11.9,11.7,12.7,10.8,9.7,12.2,8.5,8.9
"사회, 과학","2018",13.1,11.8,13.3,10.4,8.8,11.4,8.7,7.3
"사회, 과학","2019",13.7,12.3,14.2,10.6,10.2,13.6,9.7,8.3
"사회, 과학","2020",12.4,11.4,12.6,10.2,8.3,10.2,8.6,6.9
"사회, 과학","2021",15.9,14.5,16.1,13.1,11.6,15.5,10.5,9.9
"논  술","2017",8.9,8.1,9.7,6.6,5.5,8.3,3.9,4.8
"논  술","2018",10.6,8.7,10.1,7.4,6.0,7.4,6.3,5.0
"논  술","2019",11.4,9.7,10.8,8.7,6.4,8.8,6.5,4.7
"논  술","2020",9.5,8.5,10.0,7.1,5.4,7.1,5.2,4.5
"논  술","2021",13.0,10.6,12.2,9.1,6.8,9.6,6.5,5.3
"제2외국어, 한문, 컴퓨터 등","2017",6.5,5.3,5.8,4.9,4.5,5.0,4.3,4.2
"제2외국어, 한문, 컴퓨터 등","2018",7.1,5.9,7.0,5.0,4.8,5.9,4.4,4.3
"제2외국어, 한문, 컴퓨터 등","2019",8.8,7.4,8.1,6.8,5.5,6.9,5.7,4.5
"제2외국어, 한문, 컴퓨터 등","2020",6.5,4.5,5.3,3.8,3.2,4.6,3.2,2.4
"제2외국어, 한문, 컴퓨터 등","2021",8.1,5.8,6.4,5.3,4.3,5.3,4.1,3.8
"과목: 예체능,취미,교양 사교육","2017",45.8,41.7,44.8,38.9,36.9,42.2,37.0,33.3
"과목: 예체능,취미,교양 사교육","2018",47.8,42.7,44.9,40.7,38.8,40.6,38.9,37.6
"과목: 예체능,취미,교양 사교육","2019",49.7,44.5,46.5,42.6,39.4,40.5,39.4,38.7
"과목: 예체능,취미,교양 사교육","2020",36.2,32.2,33.7,30.7,28.7,29.6,27.7,29.0
"과목: 예체능,취미,교양 사교육","2021",48.6,40.7,42.9,38.7,36.4,38.2,34.9,36.4
"음  악","2017",22.3,18.4,20.5,16.5,15.7,19.4,16.0,13.1
"음  악","2018",21.8,18.1,19.5,16.9,14.8,17.6,15.4,12.8
"음  악","2019",22.1,19.4,21.2,17.8,16.3,18.7,16.0,15.1
"음  악","2020",15.6,12.8,14.0,11.6,10.5,11.9,10.3,9.7
"음  악","2021",23.3,17.1,18.3,16.0,13.7,15.0,13.3,13.1
"미  술","2017",10.8,8.6,9.7,7.5,6.3,8.5,6.0,5.0
"미  술","2018",12.3,9.3,9.6,9.0,6.5,7.4,7.4,5.3
"미  술","2019",12.5,10.4,11.5,9.4,6.9,7.4,7.6,6.2
"미  술","2020",8.5,6.7,7.3,6.2,4.4,5.3,4.1,4.1
"미  술","2021",13.3,10.1,11.0,9.3,6.7,8.3,6.8,5.6
"체  육","2017",26.4,24.5,26.7,22.5,21.3,23.9,20.9,19.9
"체  육","2018",28.7,25.4,26.8,24.2,23.7,23.2,23.8,23.9
"체  육","2019",30.6,27.1,28.6,25.7,23.4,23.3,23.2,23.6
"체  육","2020",19.7,17.6,18.3,16.9,16.6,16.2,16.0,17.3
"체  육","2021",30.0,23.8,25.3,22.4,21.7,21.9,21.2,22.0
"취미·교양","2017",5.6,5.3,5.2,5.4,5.2,5.9,5.0,4.9
"취미·교양","2018",5.9,5.7,5.6,5.7,4.9,4.8,4.9,4.8
"취미·교양","2019",6.6,5.2,5.5,4.9,5.3,5.4,5.0,5.5
"취미·교양","2020",3.8,2.8,3.0,2.7,2.4,2.3,2.4,2.5
"취미·교양","2021",4.7,3.8,3.7,3.8,3.7,3.5,3.7,3.7
"과목: 취업관련 사교육","2017",0.7,0.8,0.7,0.9,0.9,0.7,1.1,0.8
"과목: 취업관련 사교육","2018",0.7,0.6,0.5,0.6,0.6,0.5,0.6,0.7
"과목: 취업관련 사교육","2019",0.5,0.7,0.6,0.7,0.6,0.5,0.6,0.8
"과목: 취업관련 사교육","2020",0.4,0.6,0.5,0.6,0.7,0.7,0.8,0.5
"과목: 취업관련 사교육","2021",0.4,0.6,0.6,0.6,0.7,0.7,0.7,0.8
"과목: 진로·진학 학습상담","2017",3.5,3.1,3.2,2.9,2.6,2.7,2.1,3.0
"과목: 진로·진학 학습상담","2018",3.8,3.7,4.1,3.3,3.3,3.2,3.5,3.1
"과목: 진로·진학 학습상담","2019",2.9,2.3,2.4,2.1,2.1,2.1,2.2,2.0
"과목: 진로·진학 학습상담","2020",3.1,2.4,2.7,2.1,2.0,2.8,1.6,1.7
"과목: 진로·진학 학습상담","2021",3.1,2.2,2.6,1.8,2.0,2.1,2.1,1.8
"유형: 일반교과 사교육","2017",52.0,55.4,57.7,53.2,43.9,47.7,43.9,41.3
"유형: 일반교과 사교육","2018",55.4,55.7,58.8,52.9,46.4,50.4,48.2,42.6
"유형: 일반교과 사교육","2019",59.8,59.4,61.6,57.4,48.2,54.2,48.5,44.1
"유형: 일반교과 사교육","2020",54.1,55.6,57.5,53.8,43.9,49.6,43.9,40.3
"유형: 일반교과 사교육","2021",64.2,63.6,66.3,61.1,52.2,58.5,51.5,48.5
"개인과외","2017",9.8,9.4,10.0,8.9,6.2,7.0,6.2,5.7
"개인과외","2018",11.6,9.4,10.3,8.5,7.3,8.6,7.4,6.5
"개인과외","2019",10.6,9.4,10.1,8.7,6.6,7.7,6.5,5.9
"개인과외","2020",10.7,9.2,9.8,8.5,6.3,8.1,6.0,5.4
"개인과외","2021",12.0,10.6,11.8,9.5,7.5,10.4,6.9,6.2
"그룹과외","2017",9.4,10.2,10.8,9.7,7.1,9.3,6.3,6.3
"그룹과외","2018",9.4,10.0,11.2,9.0,7.9,9.3,8.6,6.6
"그룹과외","2019",9.4,10.0,10.9,9.2,7.6,9.0,7.3,6.8
"그룹과외","2020",7.4,9.1,9.9,8.4,6.6,8.0,6.4,5.9
"그룹과외","2021",8.8,9.6,10.0,9.1,7.7,8.8,7.8,7.0
"학원수강","2017",36.8,39.3,40.8,37.9,28.7,31.3,28.6,27.0
"학원수강","2018",39.1,39.4,41.2,37.8,30.0,32.6,31.2,27.7
"학원수강","2019",43.8,43.8,45.0,42.6,32.8,37.9,33.6,29.0
"학원수강","2020",38.8,40.6,41.5,39.8,30.0,33.6,30.8,27.2
"학원수강","2021",46.5,47.4,49.2,45.7,35.8,40.8,35.4,32.7
"방문학습지","2017",12.6,12.8,14.6,11.1,11.0,12.6,11.0,10.0
"방문학습지","2018",12.5,13.0,14.9,11.3,12.3,15.2,12.8,10.3
"방문학습지","2019",14.5,13.3,14.1,12.5,11.2,12.2,12.0,10.0
"방문학습지","2020",11.7,10.8,11.8,9.8,8.9,9.5,8.8,8.6
"방문학습지","2021",13.9,11.9,12.5,11.3,9.7,10.3,9.9,9.1
"유료인터넷 및 통신강좌 등","2017",5.1,5.6,6.5,4.8,4.2,6.0,3.2,3.7
"유료인터넷 및 통신강좌 등","2018",6.6,6.2,7.2,5.3,4.9,6.4,5.0,4.0
"유료인터넷 및 통신강좌 등","2019",8.8,7.5,8.6,6.5,6.5,8.2,6.2,5.6
"유료인터넷 및 통신강좌 등","2020",7.7,6.5,7.7,5.3,5.2,7.2,5.1,4.0
"유료인터넷 및 통신강좌 등","2021",12.3,10.3,11.9,8.7,8.9,11.9,8.5,7.1
"유형: 예체능,취미,교양 사교육","2017",45.8,41.7,44.8,38.9,36.9,42.2,37.0,33.3
"유형: 예체능,취미,교양 사교육","2018",47.8,42.7,44.9,40.7,38.8,40.6,38.9,37.6
"유형: 예체능,취미,교양 사교육","2019",49.7,44.5,46.5,42.6,39.4,40.5,39.4,38.7
"유형: 예체능,취미,교양 사교육","2020",36.2,32.2,33.7,30.7,28.7,29.6,27.7,29.0
"유형: 예체능,취미,교양 사교육","2021",48.6,40.7,42.9,38.7,36.4,38.2,34.9,36.4
"개인과외","2017",7.7,5.7,6.2,5.2,4.8,6.7,4.0,4.2
"개인과외","2018",8.2,6.4,6.7,6.2,5.2,6.4,5.0,4.6
"개인과외","2019",7.4,5.4,5.7,5.1,5.0,4.9,5.3,4.9
"개인과외","2020",6.4,4.5,4.8,4.2,3.7,4.3,3.5,3.4
"개인과외","2021",7.5,4.8,4.8,4.8,3.5,4.4,3.5,2.9
"그룹과외","2017",5.0,5.0,5.2,4.8,4.5,5.0,3.9,4.6
"그룹과외","2018",5.7,5.2,5.1,5.3,4.2,3.8,4.8,4.1
"그룹과외","2019",5.6,5.1,5.2,5.1,4.2,4.2,3.6,4.6
"그룹과외","2020",3.4,3.0,3.2,2.8,2.6,2.1,2.8,2.8
"그룹과외","2021",4.2,3.4,3.5,3.3,2.7,2.7,2.7,2.7
"학원수강","2017",34.5,31.9,34.8,29.3,27.9,31.1,29.2,24.8
"학원수강","2018",36.9,32.6,34.6,30.7,29.1,30.5,29.1,28.1
"학원수강","2019",39.7,35.5,37.4,33.7,30.1,31.5,30.4,28.8
"학원수강","2020",27.5,25.4,26.8,23.9,22.6,23.8,21.5,22.6
"학원수강","2021",40.3,33.7,35.8,31.7,30.1,31.2,29.1,30.1
"방문수업 및 기타","2017",6.5,6.0,6.1,5.8,5.7,6.9,5.6,5.0
"방문수업 및 기타","2018",6.1,5.6,5.8,5.5,5.7,5.8,6.1,5.3
"방문수업 및 기타","2019",5.9,5.7,6.1,5.3,6.0,6.5,5.2,6.2
"방문수업 및 기타","2020",3.0,2.4,2.3,2.5,2.2,2.1,2.1,2.3
"방문수업 및 기타","2021",3.3,3.1,3.2,3.1,3.2,3.1,2.9,3.4
