Domain,Area,Element,Item,Year,Value
"Forestry Production and Trade","World","Production","Sawlogs and veneer logs, coniferous","2018","776211022"
"Forestry Production and Trade","World","Production","Sawlogs and veneer logs, coniferous","2019","750653711"
"Forestry Production and Trade","World","Production","Sawlogs and veneer logs, coniferous","2020","755319098"
"Forestry Production and Trade","World","Production","Sawlogs and veneer logs, non-coniferous","2018","402730622"
"Forestry Production and Trade","World","Production","Sawlogs and veneer logs, non-coniferous","2019","396161413"
"Forestry Production and Trade","World","Production","Sawlogs and veneer logs, non-coniferous","2020","381351433"
"Forestry Production and Trade","World","Production","Sawnwood, coniferous","2018","354367674"
"Forestry Production and Trade","World","Production","Sawnwood, coniferous","2019","351256845"
"Forestry Production and Trade","World","Production","Sawnwood, coniferous","2020","348826308"
"Forestry Production and Trade","World","Import Quantity","Sawnwood, coniferous","2018","125110590"
"Forestry Production and Trade","World","Import Quantity","Sawnwood, coniferous","2019","126973967"
"Forestry Production and Trade","World","Import Quantity","Sawnwood, coniferous","2020","122538681"
"Forestry Production and Trade","World","Import Value","Sawnwood, coniferous","2018","30598203"
"Forestry Production and Trade","World","Import Value","Sawnwood, coniferous","2019","26911076"
"Forestry Production and Trade","World","Import Value","Sawnwood, coniferous","2020","27829833"
"Forestry Production and Trade","World","Export Quantity","Sawnwood, coniferous","2018","133685613"
"Forestry Production and Trade","World","Export Quantity","Sawnwood, coniferous","2019","133592781"
"Forestry Production and Trade","World","Export Quantity","Sawnwood, coniferous","2020","131041924"
"Forestry Production and Trade","World","Export Value","Sawnwood, coniferous","2018","29890250"
"Forestry Production and Trade","World","Export Value","Sawnwood, coniferous","2019","26443541"
"Forestry Production and Trade","World","Export Value","Sawnwood, coniferous","2020","28018655"
"Forestry Production and Trade","World","Production","Sawnwood, non-coniferous all","2018","136835152"
"Forestry Production and Trade","World","Production","Sawnwood, non-coniferous all","2019","136717276"
"Forestry Production and Trade","World","Production","Sawnwood, non-coniferous all","2020","123902661"
"Forestry Production and Trade","World","Import Quantity","Sawnwood, non-coniferous all","2018","26677560"
"Forestry Production and Trade","World","Import Quantity","Sawnwood, non-coniferous all","2019","24775167"
"Forestry Production and Trade","World","Import Quantity","Sawnwood, non-coniferous all","2020","22141439"
"Forestry Production and Trade","World","Import Value","Sawnwood, non-coniferous all","2018","13034143"
"Forestry Production and Trade","World","Import Value","Sawnwood, non-coniferous all","2019","11365983"
"Forestry Production and Trade","World","Import Value","Sawnwood, non-coniferous all","2020","9876698"
"Forestry Production and Trade","World","Export Quantity","Sawnwood, non-coniferous all","2018","25794801"
"Forestry Production and Trade","World","Export Quantity","Sawnwood, non-coniferous all","2019","23894439"
"Forestry Production and Trade","World","Export Quantity","Sawnwood, non-coniferous all","2020","21792485"
"Forestry Production and Trade","World","Export Value","Sawnwood, non-coniferous all","2018","12225533"
"Forestry Production and Trade","World","Export Value","Sawnwood, non-coniferous all","2019","10594807"
"Forestry Production and Trade","World","Export Value","Sawnwood, non-coniferous all","2020","9118671"
"Forestry Production and Trade","World","Production","Plywood","2018","116316622"
"Forestry Production and Trade","World","Production","Plywood","2019","116076803"
"Forestry Production and Trade","World","Production","Plywood","2020","118411032"
"Forestry Production and Trade","World","Import Quantity","Plywood","2018","32252381"
"Forestry Production and Trade","World","Import Quantity","Plywood","2019","30034456"
"Forestry Production and Trade","World","Import Quantity","Plywood","2020","26834369"
"Forestry Production and Trade","World","Import Value","Plywood","2018","16826742"
"Forestry Production and Trade","World","Import Value","Plywood","2019","14299732"
"Forestry Production and Trade","World","Import Value","Plywood","2020","13337862"
"Forestry Production and Trade","World","Export Quantity","Plywood","2018","32309877"
"Forestry Production and Trade","World","Export Quantity","Plywood","2019","30112276"
"Forestry Production and Trade","World","Export Quantity","Plywood","2020","28224421"
"Forestry Production and Trade","World","Export Value","Plywood","2018","17002824"
"Forestry Production and Trade","World","Export Value","Plywood","2019","14988269"
"Forestry Production and Trade","World","Export Value","Plywood","2020","13918520"
"Forestry Production and Trade","World","Production","Particle board","2018","100799255"
"Forestry Production and Trade","World","Production","Particle board","2019","100740620"
"Forestry Production and Trade","World","Production","Particle board","2020","96011391"
"Forestry Production and Trade","World","Import Quantity","Particle board","2018","23169679"
"Forestry Production and Trade","World","Import Quantity","Particle board","2019","22761359"
"Forestry Production and Trade","World","Import Quantity","Particle board","2020","22043499"
"Forestry Production and Trade","World","Import Value","Particle board","2018","5872658"
"Forestry Production and Trade","World","Import Value","Particle board","2019","5526472"
"Forestry Production and Trade","World","Import Value","Particle board","2020","5154455"
"Forestry Production and Trade","World","Export Quantity","Particle board","2018","24707183"
"Forestry Production and Trade","World","Export Quantity","Particle board","2019","23399678"
"Forestry Production and Trade","World","Export Quantity","Particle board","2020","21970999"
"Forestry Production and Trade","World","Export Value","Particle board","2018","5941160"
"Forestry Production and Trade","World","Export Value","Particle board","2019","5557825"
"Forestry Production and Trade","World","Export Value","Particle board","2020","5242867"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs, coniferous","2018","8759374"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs, coniferous","2019","6825423"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs, coniferous","2020","9201819"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs, non-coniferous","2018","29115167"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs, non-coniferous","2019","28806400"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs, non-coniferous","2020","29650825"
"Forestry Production and Trade","Africa","Production","Sawnwood, coniferous","2018","3161251"
"Forestry Production and Trade","Africa","Production","Sawnwood, coniferous","2019","3179091"
"Forestry Production and Trade","Africa","Production","Sawnwood, coniferous","2020","3073668"
"Forestry Production and Trade","Africa","Import Quantity","Sawnwood, coniferous","2018","7635426"
"Forestry Production and Trade","Africa","Import Quantity","Sawnwood, coniferous","2019","7532709"
"Forestry Production and Trade","Africa","Import Quantity","Sawnwood, coniferous","2020","6831901"
"Forestry Production and Trade","Africa","Import Value","Sawnwood, coniferous","2018","1712156"
"Forestry Production and Trade","Africa","Import Value","Sawnwood, coniferous","2019","1604233"
"Forestry Production and Trade","Africa","Import Value","Sawnwood, coniferous","2020","1270636"
"Forestry Production and Trade","Africa","Export Quantity","Sawnwood, coniferous","2018","425211"
"Forestry Production and Trade","Africa","Export Quantity","Sawnwood, coniferous","2019","425043"
"Forestry Production and Trade","Africa","Export Quantity","Sawnwood, coniferous","2020","217433"
"Forestry Production and Trade","Africa","Export Value","Sawnwood, coniferous","2018","113059"
"Forestry Production and Trade","Africa","Export Value","Sawnwood, coniferous","2019","89697"
"Forestry Production and Trade","Africa","Export Value","Sawnwood, coniferous","2020","25313"
"Forestry Production and Trade","Africa","Production","Sawnwood, non-coniferous all","2018","8391253"
"Forestry Production and Trade","Africa","Production","Sawnwood, non-coniferous all","2019","8891591"
"Forestry Production and Trade","Africa","Production","Sawnwood, non-coniferous all","2020","7758817"
"Forestry Production and Trade","Africa","Import Quantity","Sawnwood, non-coniferous all","2018","1011286"
"Forestry Production and Trade","Africa","Import Quantity","Sawnwood, non-coniferous all","2019","1080795"
"Forestry Production and Trade","Africa","Import Quantity","Sawnwood, non-coniferous all","2020","1033096"
"Forestry Production and Trade","Africa","Import Value","Sawnwood, non-coniferous all","2018","393738"
"Forestry Production and Trade","Africa","Import Value","Sawnwood, non-coniferous all","2019","383002"
"Forestry Production and Trade","Africa","Import Value","Sawnwood, non-coniferous all","2020","306801"
"Forestry Production and Trade","Africa","Export Quantity","Sawnwood, non-coniferous all","2018","2671306"
"Forestry Production and Trade","Africa","Export Quantity","Sawnwood, non-coniferous all","2019","3080487"
"Forestry Production and Trade","Africa","Export Quantity","Sawnwood, non-coniferous all","2020","2585989"
"Forestry Production and Trade","Africa","Export Value","Sawnwood, non-coniferous all","2018","1548428"
"Forestry Production and Trade","Africa","Export Value","Sawnwood, non-coniferous all","2019","1535059"
"Forestry Production and Trade","Africa","Export Value","Sawnwood, non-coniferous all","2020","1231436"
"Forestry Production and Trade","Africa","Production","Plywood","2018","990258"
"Forestry Production and Trade","Africa","Production","Plywood","2019","1045258"
"Forestry Production and Trade","Africa","Production","Plywood","2020","1005289"
"Forestry Production and Trade","Africa","Import Quantity","Plywood","2018","1487677"
"Forestry Production and Trade","Africa","Import Quantity","Plywood","2019","1842792"
"Forestry Production and Trade","Africa","Import Quantity","Plywood","2020","1207230"
"Forestry Production and Trade","Africa","Import Value","Plywood","2018","692969"
"Forestry Production and Trade","Africa","Import Value","Plywood","2019","658025"
"Forestry Production and Trade","Africa","Import Value","Plywood","2020","510760"
"Forestry Production and Trade","Africa","Export Quantity","Plywood","2018","256607"
"Forestry Production and Trade","Africa","Export Quantity","Plywood","2019","287607"
"Forestry Production and Trade","Africa","Export Quantity","Plywood","2020","206322"
"Forestry Production and Trade","Africa","Export Value","Plywood","2018","142101"
"Forestry Production and Trade","Africa","Export Value","Plywood","2019","142734"
"Forestry Production and Trade","Africa","Export Value","Plywood","2020","113357"
"Forestry Production and Trade","Africa","Production","Particle board","2018","1261711"
"Forestry Production and Trade","Africa","Production","Particle board","2019","1262011"
"Forestry Production and Trade","Africa","Production","Particle board","2020","1261011"
"Forestry Production and Trade","Africa","Import Quantity","Particle board","2018","387468"
"Forestry Production and Trade","Africa","Import Quantity","Particle board","2019","652773"
"Forestry Production and Trade","Africa","Import Quantity","Particle board","2020","624284"
"Forestry Production and Trade","Africa","Import Value","Particle board","2018","131957"
"Forestry Production and Trade","Africa","Import Value","Particle board","2019","152579"
"Forestry Production and Trade","Africa","Import Value","Particle board","2020","135441"
"Forestry Production and Trade","Africa","Export Quantity","Particle board","2018","175158"
"Forestry Production and Trade","Africa","Export Quantity","Particle board","2019","218891"
"Forestry Production and Trade","Africa","Export Quantity","Particle board","2020","157305"
"Forestry Production and Trade","Africa","Export Value","Particle board","2018","66018"
"Forestry Production and Trade","Africa","Export Value","Particle board","2019","52710"
"Forestry Production and Trade","Africa","Export Value","Particle board","2020","42872"
"Forestry Production and Trade","Americas","Production","Sawlogs and veneer logs, coniferous","2018","326643485"
"Forestry Production and Trade","Americas","Production","Sawlogs and veneer logs, coniferous","2019","310409867"
"Forestry Production and Trade","Americas","Production","Sawlogs and veneer logs, coniferous","2020","311479951"
"Forestry Production and Trade","Americas","Production","Sawlogs and veneer logs, non-coniferous","2018","108496880"
"Forestry Production and Trade","Americas","Production","Sawlogs and veneer logs, non-coniferous","2019","104317691"
"Forestry Production and Trade","Americas","Production","Sawlogs and veneer logs, non-coniferous","2020","91478616"
"Forestry Production and Trade","Americas","Production","Sawnwood, coniferous","2018","129150024"
"Forestry Production and Trade","Americas","Production","Sawnwood, coniferous","2019","123819098"
"Forestry Production and Trade","Americas","Production","Sawnwood, coniferous","2020","123777900"
"Forestry Production and Trade","Americas","Import Quantity","Sawnwood, coniferous","2018","29226492"
"Forestry Production and Trade","Americas","Import Quantity","Sawnwood, coniferous","2019","28246209"
"Forestry Production and Trade","Americas","Import Quantity","Sawnwood, coniferous","2020","29177147"
"Forestry Production and Trade","Americas","Import Value","Sawnwood, coniferous","2018","7752829"
"Forestry Production and Trade","Americas","Import Value","Sawnwood, coniferous","2019","6246095"
"Forestry Production and Trade","Americas","Import Value","Sawnwood, coniferous","2020","8529771"
"Forestry Production and Trade","Americas","Export Quantity","Sawnwood, coniferous","2018","40213164"
"Forestry Production and Trade","Americas","Export Quantity","Sawnwood, coniferous","2019","36859303"
"Forestry Production and Trade","Americas","Export Quantity","Sawnwood, coniferous","2020","34591105"
"Forestry Production and Trade","Americas","Export Value","Sawnwood, coniferous","2018","10687217"
"Forestry Production and Trade","Americas","Export Value","Sawnwood, coniferous","2019","8369986"
"Forestry Production and Trade","Americas","Export Value","Sawnwood, coniferous","2020","9679715"
"Forestry Production and Trade","Americas","Production","Sawnwood, non-coniferous all","2018","32001345"
"Forestry Production and Trade","Americas","Production","Sawnwood, non-coniferous all","2019","31783563"
"Forestry Production and Trade","Americas","Production","Sawnwood, non-coniferous all","2020","25920762"
"Forestry Production and Trade","Americas","Import Quantity","Sawnwood, non-coniferous all","2018","2381701"
"Forestry Production and Trade","Americas","Import Quantity","Sawnwood, non-coniferous all","2019","2242738"
"Forestry Production and Trade","Americas","Import Quantity","Sawnwood, non-coniferous all","2020","1879425"
"Forestry Production and Trade","Americas","Import Value","Sawnwood, non-coniferous all","2018","1133172"
"Forestry Production and Trade","Americas","Import Value","Sawnwood, non-coniferous all","2019","1187317"
"Forestry Production and Trade","Americas","Import Value","Sawnwood, non-coniferous all","2020","1029199"
"Forestry Production and Trade","Americas","Export Quantity","Sawnwood, non-coniferous all","2018","5965649"
"Forestry Production and Trade","Americas","Export Quantity","Sawnwood, non-coniferous all","2019","5162634"
"Forestry Production and Trade","Americas","Export Quantity","Sawnwood, non-coniferous all","2020","5203085"
"Forestry Production and Trade","Americas","Export Value","Sawnwood, non-coniferous all","2018","3509329"
"Forestry Production and Trade","Americas","Export Value","Sawnwood, non-coniferous all","2019","2881618"
"Forestry Production and Trade","Americas","Export Value","Sawnwood, non-coniferous all","2020","2571104"
"Forestry Production and Trade","Americas","Production","Plywood","2018","18361118"
"Forestry Production and Trade","Americas","Production","Plywood","2019","17875648"
"Forestry Production and Trade","Americas","Production","Plywood","2020","16737331"
"Forestry Production and Trade","Americas","Import Quantity","Plywood","2018","8663682"
"Forestry Production and Trade","Americas","Import Quantity","Plywood","2019","7478032"
"Forestry Production and Trade","Americas","Import Quantity","Plywood","2020","7489563"
"Forestry Production and Trade","Americas","Import Value","Plywood","2018","4422295"
"Forestry Production and Trade","Americas","Import Value","Plywood","2019","3440519"
"Forestry Production and Trade","Americas","Import Value","Plywood","2020","3518991"
"Forestry Production and Trade","Americas","Export Quantity","Plywood","2018","5978507"
"Forestry Production and Trade","Americas","Export Quantity","Plywood","2019","5313432"
"Forestry Production and Trade","Americas","Export Quantity","Plywood","2020","4334217"
"Forestry Production and Trade","Americas","Export Value","Plywood","2018","2116477"
"Forestry Production and Trade","Americas","Export Value","Plywood","2019","1969717"
"Forestry Production and Trade","Americas","Export Value","Plywood","2020","1759205"
"Forestry Production and Trade","Americas","Production","Particle board","2018","11588909"
"Forestry Production and Trade","Americas","Production","Particle board","2019","11698653"
"Forestry Production and Trade","Americas","Production","Particle board","2020","11134683"
"Forestry Production and Trade","Americas","Import Quantity","Particle board","2018","2994994"
"Forestry Production and Trade","Americas","Import Quantity","Particle board","2019","2945174"
"Forestry Production and Trade","Americas","Import Quantity","Particle board","2020","3503612"
"Forestry Production and Trade","Americas","Import Value","Particle board","2018","771955"
"Forestry Production and Trade","Americas","Import Value","Particle board","2019","825990"
"Forestry Production and Trade","Americas","Import Value","Particle board","2020","759346"
"Forestry Production and Trade","Americas","Export Quantity","Particle board","2018","3629492"
"Forestry Production and Trade","Americas","Export Quantity","Particle board","2019","2167793"
"Forestry Production and Trade","Americas","Export Quantity","Particle board","2020","2146466"
"Forestry Production and Trade","Americas","Export Value","Particle board","2018","658739"
